Description,Actions,Objects
"layer each bun w / ham , then swiss cheese , turkey , then cheddar cheese , pepperoni , then mozzerella cheese",,"bun, cheddar, cheese, layer, mozzerella cheese, pepperoni"
"place""lids"" on buns and place in 425 degree oven for approximly 12-15 minutes , or until you see the tops start to turn golden brown","oven, place""lid, see, start, turn","approximly, approximly minutes, buns, degree, place, tops"
"to prepare base , cut shortening into dry ingredients , mix well","cut, mix, prepare","base, dry ingredients, shortening"
pat firmly and evenly into an 8 inch square pan and bake at 350 deg,bake,"deg, inch, square pan"
"for cake: cream shortening , and sugar",,"cake, cream, cream shortening, sugar"
"add eggs and vanilla , beating well until fluffy","add, beat","eggs, vanilla"
"sift flour , baking powder and salt together",bake,"powder, salt, sift, sift flour"
add to creamed mixture alternately with milk,"add, cream","creamed mixture, milk"
pour batter into a greased and floured 8 inch square pan,flour,"greased, greased square pan, inch, pour, pour batter"
f for 25 - 40 minutes,,minutes
"frosting: in small saucepan , stir tog","frost, stir",small saucepan
"cook , stirring constantly , until mixute is thickened and smooth","cook, stir, thicken",mixute
"on highest speed of mixer , beat cooled flour mixture with butter , shortening and vanilla until smooth and fluffy","beat, cool","butter, cooled flour mixture, flour, highest speed, mixer, shortening, vanilla"
blend in icing sugar and salt,ice,"blend, salt, sugar"
continue beating until frosting is very fluffy,"beat, continue, frost",
this will take at least 15 minutes,take,minutes
to assemble cake: place shortbread base on serving plate,"assemble, place, serve","cake, serving plate, shortbread base"
spread with small amount of frosting,"frost, spread",small amount
cover top and sides of cake with remaining frosting,"cover, frost, remain","cake, sides, top"
"if desired , garnish sides of cake with shaved semi-sweet chocolate",desire,"cake, garnish sides, shaved semi - sweet chocolate"
preheat oven to 350 degrees,preheat,degrees
"mix together the cake mix , pudding , nutmeg and cinnamon",mix,"cake, cake mix, nutmeg, pudding"
"add eggs , oil and water to this mixture",add,"eggs, mixture, oil, water"
mix on medium speed for 1 minute,mix,"medium speed, minute"
"add the pineapple , carrots , pecans and coconut",add,"carrots, coconut, pecans, pineapple"
pour into a greased 9 inch round cake pan,pour,"inch, round cake"
"bake 25 to 30 minutes , until tooth pick inserted in the center comes out clean","come, insert","center, minutes, tooth, tooth pick"
melt butter in a saut pan,melt,"butter, saut pan"
"add the corn , onion and red pepper and saut on medium heat until some of the corn kernels start to turn golden brown","add, start, turn","corn, corn kernels, medium heat, onion, red pepper, saut"
"whisk egg , corn liquid , and cream together",cream,"corn, corn liquid, whisk, whisk egg"
stir into corn muffin mix with a fork,stir,"corn, corn muffin, fork, muffin mix"
stir in diced jalapenos and cheddar cheese,"dice, stir",cheddar
"quickly stir in hot sauted corn and onion mixture , just mixing in slightly","mix, saute, stir","corn, hot sauted mixture, onion"
pour into 8 x 8 buttered baking dish,"bake, butter, pour",dish
bake at 350 for 15 minutes,,minutes
"remove cornbread , turn off oven , drizzle cornbread with honey and put back in hot oven for 5 minutes","put, remove, turn","cornbread, drizzle, drizzle cornbread, honey, minutes"
remove from oven and let stand for 10 minutes before serving,"let, remove, serve, stand",minutes
mix starter ingredients in a bowl and let stand at room temperature undisturbed for 24 to 36 hours,"let, mix, stand","bowl, hours, room, room temperature, starter ingredients"
"place starter in a medium bowl and combine it with the""first day"" ingredients",combine,"ingredients, medium bowl, starter place, the""first day"
stir once a day for 5 days,stir,"day, days"
"on the 5th day , place in a larger bowl and add the""fifth day"" ingredients",add,"5th day, ingredients, larger bowl, place, the""fifth day"
stir once a day for 5 more days,stir,"day, days"
remove 3 separate cups of starter and give each cup to 3 friends with the recipe and instructions,"give, remove","cup, friends, instructions, recipe, separate cups, starter"
preheat oven to 350 degrees,preheat,degrees
"combine all of the""tenth day"" ingredients with the remaining mixture","combine, remain","ingredients, remaining mixture, the""tenth day"
"pour into a greased and floured 9 x 13"" pan","flour, pour","greased, greased pan"
combine topping ingredients and sprinkle on top,"combine, sprinkle, top","top, topping ingredients"
bake for 40- 50 minutes,,"bake, minutes"
brown the sausage and ground meat and drain all the fat,"brown, drain","fat, ground, ground meat, sausage"
"add all the other ingredients for the meat filling and simmer on the stove , uncovered , for about 1 / 2 hour","add, simmer, uncover","hour, meat, meat filling, other ingredients, stove"
i usually add a bay leaf or two,add,"bay, bay leaf"
mix up the cheese filling and set aside in fridge until ready to use,"mix, set, use","cheese, cheese filling, fridge"
put the noodles in salted water and cook until soft when poked with a fork,"poke, put, salt","cook, fork, noodles, salted water"
"when the noodles are done , drain the noodles and rinse off with cold water so they can be handled easily","do, drain, handle, rinse","cold water, noodles"
spray the baking pan with a non-stick spray and put a layer of noodles down on the bottom of the pan,"put, spray","baking, baking pan, bottom, layer, non - stick spray, noodles, pan"
it is ok to cut some of the noodles to fit into the pan if they do not fit whole,"cut, fit","noodles, pan"
"spread half the cheese filling over the noodels , then half of the mozarella cheese on top of that , then half of the meat sauce over the grated mozarella cheese","fill, spread","cheese, grated mozarella cheese, half, meat, meat sauce, mozarella, mozarella cheese, noodels, top"
repeat layers and then top with more mozarella cheese,repeat,"more mozarella, mozarella cheese, repeat layers"
bake at 375 degrees for 30 minutes,,"degrees, minutes"
let stand for 10 minutes before cutting into it,"cut, let, stand",minutes
leftovers can be easily stored in the freezer,store,"freezer, leftovers"
"thaw spinach , and squeeze out as much moisture as possible",squeeze,"much moisture, thaw spinach"
beat the eggs in medium bowl,beat,"eggs, medium bowl"
"stir in the cottage cheese , grated cheese , spinach and seasonings",stir,"cottage, cottage cheese, grated cheese, seasonings, spinach"
lightly spray glass 13x9 pan w / olive oil or pam,spray,"olive, olive oil, pam"
distribute meat / chicken / ham evenly over bottom of pan,distribute,"bottom, chicken, meat, pan"
pour cottage cheese mixture over meat,pour,"cheese mixture, cottage, cottage cheese, meat"
push w / spatula to distribute evenly,"distribute, push","spatula, w"
top with extra grated cheese if desired,desire,"extra grated cheese, top"
sprinkle top w / toasted wheat germ,"sprinkle, toast","top toasted wheat germ, w, wheat"
"bake 45-50 minutes , until set and slightly brown at edges",set,"edges, minutes"
let sit a few minutes out of oven before serving,"let, serve, sit",minutes
serve hot or at room temperature,serve,"room, room temperature"
"before you turn in for the night , grease a 10"" bundt pan and add frozen rolls","add, grease, turn","bundt, bundt pan, frozen rolls, night"
"sprinkle with brown sugar , pudding powder , cinnamon and raisins",sprinkle,"brown sugar, cinnamon, pudding, pudding powder, raisins"
pour melted butter over all,"melt, pour",melted butter
"cover with a clean , damp cloth",cover,clean damp cloth
off to bed you go !,go,bed
"in the morning , preheat oven to 350 and bake for 25 minutes","bake, preheat","minutes, morning"
let sit for 5 minutes and then turn out on a serving plate,"let, serve, sit, turn","minutes, serving plate"
"i had previously browned and drained the ground beef and had it in the fridge , if you don't have this leftover , brown ground beef first in a nonstick skillet , drain off fat really well","brown, drain, have","brown ground, fat, fridge, ground, ground beef, leftover ground beef, nonstick, nonstick skillet"
i use a pile of paper towels to soak up the fat,"soak, use","fat, paper, paper towels, pile"
place ground beef in a large pot,,"ground, large pot, place, place ground beef"
stir in all other ingredients except the sugar,stir,"other ingredients, sugar"
"bring to a boil , stirring occasionally","bring, stir",boil
"turn heat down to low and simmer uncovered or covered for about 30 minutes or so to let the flavors mix , stirring occasionally","cover, heat, let, mix, stir, turn, uncover","flavors, minutes, simmer"
taste the sauce now and then and add more onions or garlic to taste,"add, taste","garlic, more onions, sauce"
add a little sugar to neutralize the acidity of the tomatoes during the simmering,"add, neutralize, simmer","acidity, little sugar, tomatoes"
serve over hot spaghetti noodles,serve,"hot spaghetti noodles, spaghetti"
"the sauce should be fairly thick , not runny , so as you add in the ingredients , use more or less of the prego as needed","add, need, use","ingredients, prego, sauce"
"if too thick , add a little water , more prego , or more stewed tomatoes with juice","add, stew","juice, little water, more prego, stewed tomatoes"
"when i made mine , it was the consistency of chili",make,"chili, consistency"
"this makes a pretty decent batch , can feed 2-4 depending on how much everyone eats in a serving","depend, eat, feed, make, serve",decent batch
honey mustard sauce: whisk all the ingredients together serve warm or cold,"serve, whisk","honey, honey mustard, ingredients, mustard sauce"
easy bbq sauce: combine all ingredients in a pot& cook over low heat until the sugar is dissolved,"combine, cook, dissolve","bbq, easy bbq sauce, ingredients, low heat, pot, sugar"
garlic dill sauce: mix all the ingredients and chill until ready to serve,"mix, serve","chill, dill, garlic dill sauce, ingredients"
pre-heat the oven to 450,"-, heat",
"sift together the flour , salt and baking powder","bake, sift","flour, powder, salt"
cut in the butter with a fork until meal-like crumbs form,cut,"butter, crumbs form, fork, like crumbs, meal"
lightly beat the egg in a separate bowl,beat,"egg, separate bowl"
add to the flour mixture,add,"flour, flour mixture"
briefly knead on a floured board,knead,floured board
roll out to 1 / 2 inch thick,roll,inch
place on a greased baking sheet and cook for 10 minutes,,"baking, cook, greased baking sheet, minutes, place"
"heat oil in a frying pan and saut the onions and mushrooms until soft , about two minutes","fry, saut","frying pan, heat, heat oil, minutes, mushrooms, onions"
"add the water , tomatoes , garlic , oregano , basil , parsley and hot sauce",add,"basil, garlic, hot sauce, oregano, parsley, tomatoes, water"
